text*samohlasky*delka
The Wizard of Oz (1939)*4*23
The Third Man (1949)*3*20
Citizen Kane (1941)*5*19
Mad Max: Fury Road (2015)*5*25
Das Cabinet des Dr. Caligari. (The Cabinet of Dr. Caligari) (1920)*18*66
All About Eve (1950)*3*20
The Godfather (1972)*4*20
Inside Out (2015)*3*17
Modern Times (1936)*4*19
Metropolis (1927)*4*17
E.T. The Extra-Terrestrial (1982)*6*33
It Happened One Night (1934)*5*28
Singin' in the Rain (1952)*6*26
Casablanca (1942)*4*17
Laura (1944)*3*12
Boyhood (2014)*3*14
A Hard Day's Night (1964)*3*25
Snow White and the Seven Dwarfs (1937)*8*38
Nosferatu a Symphony of Horror (Nosferatu eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)*31*100
La Grande illusion (Grand Illusion) (1938)*11*42
North by Northwest (1959)*3*25
Repulsion (1965)*4*16
The Battle of Algiers (La Battaglia di Algeri) (1967)*14*53
Gravity (2013)*2*14
King Kong (1933)*2*16
The Maltese Falcon (1941)*6*25
Rear Window (1954)*4*18
The Adventures of Robin Hood (1938)*9*35
Rashômon (1951)*2*16
Psycho (1960)*1*13
12 Years a Slave (2013)*5*23
Toy Story 3 (2010)*2*18
Selma (2015)*2*12
Toy Story 2 (1999)*2*18
Sunset Boulevard (1950)*6*23
The Bride of Frankenstein (1935)*8*32
M (1931)*0*8
The Philadelphia Story (1940)*7*29
Argo (2012)*1*11
Spotlight (2015)*2*16
Taxi Driver (1976)*4*18
The Treasure of the Sierra Madre (1948)*12*39
The 400 Blows (Les Quatre cents coups) (1959)*9*45
Up (2009)*0*9
Alien (1979)*2*12
Seven Samurai (Shichinin no Samurai) (1956)*14*43
Bicycle Thieves (Ladri di biciclette) (1949)*12*44
Army of Shadows (L'Armée des ombres) (1969)*7*44
A Streetcar Named Desire (1951)*8*31
12 Angry Men (Twelve Angry Men) (1957)*4*38
Zootopia (2016)*5*15
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964)*17*74
The Night of the Hunter (1955)*6*30
Gone With the Wind (1939)*5*25
Rebecca (1940)*3*14
The Conformist (1970)*4*21
Frankenstein (1931)*4*19
Rosemary's Baby (1968)*4*22
Finding Nemo (2003)*4*19
Vertigo (1958)*3*14
Touch of Evil (1958)*4*20
The Good the Bad and the Ugly (1966)*7*36
The Wrestler (2008)*3*19
L.A. Confidential (1997)*5*24
Star Wars: Episode VII - The Force Awakens (2015)*10*49
The Hurt Locker (2009)*4*22
The 39 Steps (1935)*2*19
The Dark Knight (2008)*3*22
The Babadook (2014)*5*19
Skyfall (2012)*1*14
Open City (1946)*2*16
Hell or High Water (2016)*5*25
Tokyo Story (Tôkyô monogatari) (1953)*8*39
Brooklyn (2015)*2*15
The Last Picture Show (1971)*6*28
Star Trek (2009)*2*16
The Grapes of Wrath (1940)*5*26
Pinocchio (1940)*4*16
The Wages of Fear (1953)*6*24
High Noon (1952)*3*16
On the Waterfront (1954)*4*24
Roman Holiday (1953)*5*20
Harry Potter and the Deathly Hallows - Part 2 (2011)*10*52
Man on Wire (2008)*4*18
Toy Story (1995)*2*16
The Godfather Part II (1974)*5*28
The Artist (2011)*2*17
Anatomy of a Murder (1959)*6*26
Jaws (1975)*1*11
Lawrence of Arabia (1962)*7*25
Battleship Potemkin (1925)*6*26
The Leopard (1963)*4*18
Chinatown (1974)*3*16
It Follows (2015)*2*17
Cool Hand Luke (1967)*5*21
WALL-E (2008)*0*13
Annie Hall (1977)*3*17
An American in Paris (1951)*6*27
All Quiet on the Western Front (1930)*8*37
The Lady Vanishes (1938)*5*24
